# SWMF/IE integrated quantities log
# generated by build_hindcast_fixture.py — synthetic Feb 2022 Starlink
step year mo dy hr mn sc cpcpn cpcps hpn hps fluxn fluxs
   345 2022  2  4  4 45  0   73.609   82.295   46.134   41.520    0.000    0.000
   346 2022  2  4  4 50  0   73.283   81.931   45.783   41.205    0.000    0.000
   347 2022  2  4  4 55  0   72.956   81.564   45.432   40.888    0.000    0.000
   348 2022  2  4  5  0  0   72.626   81.196   45.079   40.571    0.000    0.000
   349 2022  2  4  5  5  0   72.294   80.825   44.725   40.252    0.000    0.000
   350 2022  2  4  5 10  0   71.960   80.451   44.370   39.933    0.000    0.000
   351 2022  2  4  5 15  0   71.624   80.076   44.015   39.613    0.000    0.000
   352 2022  2  4  5 20  0   71.287   79.699   43.659   39.293    0.000    0.000
   353 2022  2  4  5 25  0   70.948   79.319   43.302   38.971    0.000    0.000
   354 2022  2  4  5 30  0   70.607   78.938   42.944   38.650    0.000    0.000
   355 2022  2  4  5 35  0   70.264   78.555   42.586   38.328    0.000    0.000
   356 2022  2  4  5 40  0   69.920   78.170   42.228   38.005    0.000    0.000
   357 2022  2  4  5 45  0   69.574   77.783   41.869   37.682    0.000    0.000
   358 2022  2  4  5 50  0   69.226   77.395   41.510   37.359    0.000    0.000
   359 2022  2  4  5 55  0   68.878   77.005   41.151   37.036    0.000    0.000
   360 2022  2  4  6  0  0   68.527   76.614   40.792   36.713    0.000    0.000
   361 2022  2  4  6  5  0   68.176   76.221   40.433   36.390    0.000    0.000
   362 2022  2  4  6 10  0   67.823   75.826   40.074   36.067    0.000    0.000
   363 2022  2  4  6 15  0   67.469   75.431   39.715   35.744    0.000    0.000
   364 2022  2  4  6 20  0   67.114   75.034   39.357   35.421    0.000    0.000
   365 2022  2  4  6 25  0   66.758   74.636   38.998   35.098    0.000    0.000
   366 2022  2  4  6 30  0   66.401   74.236   38.640   34.776    0.000    0.000
   367 2022  2  4  6 35  0   66.043   73.836   38.283   34.454    0.000    0.000
   368 2022  2  4  6 40  0   65.684   73.435   37.926   34.133    0.000    0.000
   369 2022  2  4  6 45  0   65.324   73.032   37.569   33.812    0.000    0.000
   370 2022  2  4  6 50  0   64.963   72.629   37.214   33.492    0.000    0.000
   371 2022  2  4  6 55  0   64.602   72.225   36.859   33.173    0.000    0.000
   372 2022  2  4  7  0  0   64.240   71.820   36.504   32.854    0.000    0.000
   373 2022  2  4  7  5  0   63.877   71.414   36.151   32.536    0.000    0.000
   374 2022  2  4  7 10  0   63.513   71.008   35.799   32.219    0.000    0.000
   375 2022  2  4  7 15  0   63.149   70.601   35.447   31.903    0.000    0.000
   376 2022  2  4  7 20  0   62.785   70.194   35.097   31.587    0.000    0.000
   377 2022  2  4  7 25  0   62.420   69.786   34.748   31.273    0.000    0.000
   378 2022  2  4  7 30  0   62.055   69.378   34.400   30.960    0.000    0.000
   379 2022  2  4  7 35  0   61.690   68.969   34.053   30.648    0.000    0.000
   380 2022  2  4  7 40  0   61.324   68.560   33.708   30.337    0.000    0.000
   381 2022  2  4  7 45  0   60.958   68.151   33.363   30.027    0.000    0.000
   382 2022  2  4  7 50  0   60.592   67.742   33.021   29.719    0.000    0.000
   383 2022  2  4  7 55  0   60.226   67.332   32.680   29.412    0.000    0.000
   384 2022  2  4  8  0  0   59.859   66.923   32.340   29.106    0.000    0.000
   385 2022  2  4  8  5  0   59.493   66.513   32.002   28.802    0.000    0.000
   386 2022  2  4  8 10  0   59.127   66.104   31.666   28.499    0.000    0.000
   387 2022  2  4  8 15  0   58.761   65.694   31.331   28.198    0.000    0.000
   388 2022  2  4  8 20  0   58.395   65.285   30.998   27.898    0.000    0.000
   389 2022  2  4  8 25  0   58.029   64.876   30.667   27.600    0.000    0.000
   390 2022  2  4  8 30  0   57.663   64.468   30.337   27.304    0.000    0.000
   391 2022  2  4  8 35  0   57.298   64.059   30.010   27.009    0.000    0.000
   392 2022  2  4  8 40  0   56.933   63.652   29.684   26.716    0.000    0.000
   393 2022  2  4  8 45  0   56.569   63.244   29.361   26.425    0.000    0.000
   394 2022  2  4  8 50  0   56.205   62.837   29.039   26.135    0.000    0.000
   395 2022  2  4  8 55  0   55.841   62.431   28.720   25.848    0.000    0.000
   396 2022  2  4  9  0  0   55.478   62.025   28.402   25.562    0.000    0.000
   397 2022  2  4  9  5  0   55.116   61.620   28.087   25.278    0.000    0.000
   398 2022  2  4  9 10  0   54.754   61.215   27.774   24.996    0.000    0.000
   399 2022  2  4  9 15  0   54.393   60.811   27.463   24.717    0.000    0.000
   400 2022  2  4  9 20  0   54.032   60.408   27.154   24.439    0.000    0.000
   401 2022  2  4  9 25  0   53.673   60.006   26.848   24.163    0.000    0.000
   402 2022  2  4  9 30  0   53.314   59.605   26.544   23.890    0.000    0.000
   403 2022  2  4  9 35  0   52.956   59.205   26.242   23.618    0.000    0.000
   404 2022  2  4  9 40  0   52.599   58.805   25.943   23.349    0.000    0.000
   405 2022  2  4  9 45  0   52.242   58.407   25.646   23.081    0.000    0.000
   406 2022  2  4  9 50  0   51.887   58.010   25.351   22.816    0.000    0.000
   407 2022  2  4  9 55  0   51.533   57.614   25.059   22.553    0.000    0.000
   408 2022  2  4 10  0  0   51.180   57.219   24.770   22.293    0.000    0.000
   409 2022  2  4 10  5  0   50.827   56.825   24.483   22.034    0.000    0.000
   410 2022  2  4 10 10  0   50.476   56.432   24.198   21.778    0.000    0.000
   411 2022  2  4 10 15  0   50.126   56.041   23.916   21.524    0.000    0.000
   412 2022  2  4 10 20  0   49.778   55.651   23.637   21.273    0.000    0.000
   413 2022  2  4 10 25  0   49.430   55.263   23.360   21.024    0.000    0.000
   414 2022  2  4 10 30  0   49.084   54.876   23.085   20.777    0.000    0.000
   415 2022  2  4 10 35  0   48.739   54.490   22.814   20.532    0.000    0.000
   416 2022  2  4 10 40  0   48.395   54.106   22.545   20.290    0.000    0.000
   417 2022  2  4 10 45  0   48.053   53.723   22.279   20.051    0.000    0.000
   418 2022  2  4 10 50  0   47.712   53.342   22.015   19.813    0.000    0.000
   419 2022  2  4 10 55  0   47.373   52.963   21.754   19.578    0.000    0.000
   420 2022  2  4 11  0  0   47.035   52.585   21.496   19.346    0.000    0.000
   421 2022  2  4 11  5  0   46.698   52.209   21.240   19.116    0.000    0.000
   422 2022  2  4 11 10  0   46.363   51.834   20.987   18.888    0.000    0.000
   423 2022  2  4 11 15  0   46.030   51.462   20.737   18.663    0.000    0.000
   424 2022  2  4 11 20  0   45.698   51.091   20.489   18.441    0.000    0.000
   425 2022  2  4 11 25  0   45.368   50.722   20.245   18.220    0.000    0.000
   426 2022  2  4 11 30  0   45.040   50.354   20.003   18.003    0.000    0.000
   427 2022  2  4 11 35  0   44.713   49.989   19.764   17.787    0.000    0.000
   428 2022  2  4 11 40  0   44.387   49.625   19.527   17.574    0.000    0.000
   429 2022  2  4 11 45  0   44.064   49.263   19.293   17.364    0.000    0.000
   430 2022  2  4 11 50  0   43.742   48.904   19.062   17.156    0.000    0.000
   431 2022  2  4 11 55  0   43.422   48.546   18.834   16.951    0.000    0.000
   432 2022  2  4 12  0  0   43.104   48.190   18.609   16.748    0.000    0.000
   433 2022  2  4 12  5  0   42.788   47.836   18.386   16.547    0.000    0.000
   434 2022  2  4 12 10  0   42.473   47.485   18.166   16.349    0.000    0.000
   435 2022  2  4 12 15  0   42.160   47.135   17.949   16.154    0.000    0.000
   436 2022  2  4 12 20  0   41.849   46.788   17.734   15.961    0.000    0.000
   437 2022  2  4 12 25  0   41.541   46.442   17.523   15.770    0.000    0.000
   438 2022  2  4 12 30  0   41.234   46.099   17.314   15.582    0.000    0.000
   439 2022  2  4 12 35  0   40.929   45.758   17.107   15.397    0.000    0.000
   440 2022  2  4 12 40  0   40.625   45.419   16.904   15.213    0.000    0.000
   441 2022  2  4 12 45  0   40.324   45.083   16.703   15.033    0.000    0.000
   442 2022  2  4 12 50  0   40.025   44.748   16.505   14.854    0.000    0.000
   443 2022  2  4 12 55  0   39.728   44.416   16.309   14.678    0.000    0.000
   444 2022  2  4 13  0  0   39.433   44.086   16.117   14.505    0.000    0.000
   445 2022  2  4 13  5  0   39.140   43.758   15.927   14.334    0.000    0.000
   446 2022  2  4 13 10  0   38.849   43.433   15.739   14.165    0.000    0.000
   447 2022  2  4 13 15  0   38.560   43.110   15.554   13.999    0.000    0.000
   448 2022  2  4 13 20  0   38.273   42.789   15.372   13.835    0.000    0.000
   449 2022  2  4 13 25  0   37.988   42.471   15.193   13.673    0.000    0.000
   450 2022  2  4 13 30  0   37.706   42.155   15.016   13.514    0.000    0.000
   451 2022  2  4 13 35  0   37.425   41.841   14.842   13.357    0.000    0.000
   452 2022  2  4 13 40  0   37.147   41.530   14.670   13.203    0.000    0.000
   453 2022  2  4 13 45  0   36.871   41.221   14.501   13.051    0.000    0.000
   454 2022  2  4 13 50  0   36.597   40.915   14.334   12.901    0.000    0.000
   455 2022  2  4 13 55  0   36.325   40.611   14.170   12.753    0.000    0.000
   456 2022  2  4 14  0  0   36.055   40.309   14.009   12.608    0.000    0.000
   457 2022  2  4 14  5  0   35.787   40.010   13.850   12.465    0.000    0.000
   458 2022  2  4 14 10  0   35.522   39.714   13.693   12.324    0.000    0.000
   459 2022  2  4 14 15  0   35.259   39.419   13.539   12.185    0.000    0.000
   460 2022  2  4 14 20  0   34.998   39.128   13.387   12.049    0.000    0.000
   461 2022  2  4 14 25  0   34.739   38.838   13.238   11.914    0.000    0.000
   462 2022  2  4 14 30  0   34.483   38.552   13.091   11.782    0.000    0.000
   463 2022  2  4 14 35  0   34.228   38.267   12.947   11.652    0.000    0.000
   464 2022  2  4 14 40  0   33.976   37.986   12.805   11.524    0.000    0.000
   465 2022  2  4 14 45  0   33.726   37.706   12.665   11.399    0.000    0.000
   466 2022  2  4 14 50  0   33.479   37.429   12.528   11.275    0.000    0.000
   467 2022  2  4 14 55  0   33.233   37.155   12.393   11.154    0.000    0.000
   468 2022  2  4 15  0  0   32.990   36.883   12.260   11.034    0.000    0.000
   469 2022  2  4 15  5  0   32.749   36.614   12.130   10.917    0.000    0.000
   470 2022  2  4 15 10  0   32.511   36.347   12.002   10.801    0.000    0.000
   471 2022  2  4 15 15  0   32.274   36.083   11.876   10.688    0.000    0.000
   472 2022  2  4 15 20  0   32.040   35.821   11.752   10.577    0.000    0.000
   473 2022  2  4 15 25  0   31.808   35.562   11.630   10.467    0.000    0.000
   474 2022  2  4 15 30  0   31.579   35.305   11.511   10.360    0.000    0.000
   475 2022  2  4 15 35  0   31.351   35.051   11.393   10.254    0.000    0.000
   476 2022  2  4 15 40  0   31.126   34.799   11.278   10.150    0.000    0.000
   477 2022  2  4 15 45  0   30.903   34.550   11.165   10.049    0.000    0.000
   478 2022  2  4 15 50  0   30.682   34.303   11.054    9.949    0.000    0.000
   479 2022  2  4 15 55  0   30.464   34.059   10.945    9.851    0.000    0.000
   480 2022  2  4 16  0  0   30.248   33.817   10.838    9.754    0.000    0.000
   481 2022  2  4 16  5  0   30.034   33.578   10.733    9.660    0.000    0.000
   482 2022  2  4 16 10  0   29.822   33.341   10.630    9.567    0.000    0.000
   483 2022  2  4 16 15  0   29.612   33.107   10.529    9.476    0.000    0.000
   484 2022  2  4 16 20  0   29.405   32.875   10.430    9.387    0.000    0.000
   485 2022  2  4 16 25  0   29.200   32.646   10.333    9.299    0.000    0.000
   486 2022  2  4 16 30  0   28.997   32.419   10.237    9.213    0.000    0.000
   487 2022  2  4 16 35  0   28.796   32.194   10.144    9.129    0.000    0.000
   488 2022  2  4 16 40  0   28.598   31.972   10.052    9.047    0.000    0.000
   489 2022  2  4 16 45  0   28.402   31.753    9.962    8.966    0.000    0.000
   490 2022  2  4 16 50  0   28.207   31.536    9.874    8.887    0.000    0.000
   491 2022  2  4 16 55  0   28.015   31.321    9.788    8.809    0.000    0.000
   492 2022  2  4 17  0  0   27.826   31.109    9.703    8.733    0.000    0.000
   493 2022  2  4 17  5  0   27.638   30.899    9.620    8.658    0.000    0.000
   494 2022  2  4 17 10  0   27.453   30.692    9.539    8.585    0.000    0.000
   495 2022  2  4 17 15  0   27.269   30.487    9.459    8.513    0.000    0.000
   496 2022  2  4 17 20  0   27.088   30.284    9.381    8.443    0.000    0.000
   497 2022  2  4 17 25  0   26.909   30.084    9.305    8.374    0.000    0.000
   498 2022  2  4 17 30  0   26.732   29.886    9.230    8.307    0.000    0.000
   499 2022  2  4 17 35  0   26.557   29.691    9.157    8.241    0.000    0.000
   500 2022  2  4 17 40  0   26.384   29.498    9.085    8.177    0.000    0.000
   501 2022  2  4 17 45  0   26.214   29.307    9.015    8.113    0.000    0.000
   502 2022  2  4 17 50  0   26.045   29.118    8.946    8.052    0.000    0.000
   503 2022  2  4 17 55  0   25.879   28.932    8.879    7.991    0.000    0.000
   504 2022  2  4 18  0  0   25.714   28.748    8.813    7.932    0.000    0.000
   505 2022  2  4 18  5  0   25.552   28.567    8.749    7.874    0.000    0.000
   506 2022  2  4 18 10  0   25.391   28.387    8.686    7.817    0.000    0.000
   507 2022  2  4 18 15  0   25.233   28.210    8.624    7.762    0.000    0.000
   508 2022  2  4 18 20  0   25.076   28.036    8.564    7.708    0.000    0.000
   509 2022  2  4 18 25  0   24.922   27.863    8.505    7.655    0.000    0.000
   510 2022  2  4 18 30  0   24.770   27.693    8.448    7.603    0.000    0.000
   511 2022  2  4 18 35  0   24.619   27.524    8.392    7.552    0.000    0.000
   512 2022  2  4 18 40  0   24.471   27.358    8.337    7.503    0.000    0.000
   513 2022  2  4 18 45  0   24.324   27.195    8.283    7.455    0.000    0.000
   514 2022  2  4 18 50  0   24.180   27.033    8.230    7.407    0.000    0.000
   515 2022  2  4 18 55  0   24.037   26.873    8.179    7.361    0.000    0.000
   516 2022  2  4 19  0  0   23.896   26.716    8.129    7.316    0.000    0.000
   517 2022  2  4 19  5  0   23.757   26.561    8.080    7.272    0.000    0.000
   518 2022  2  4 19 10  0   23.620   26.408    8.032    7.229    0.000    0.000
   519 2022  2  4 19 15  0   23.485   26.257    7.985    7.187    0.000    0.000
   520 2022  2  4 19 20  0   23.352   26.108    7.940    7.146    0.000    0.000
   521 2022  2  4 19 25  0   23.221   25.961    7.895    7.105    0.000    0.000
   522 2022  2  4 19 30  0   23.091   25.816    7.851    7.066    0.000    0.000
   523 2022  2  4 19 35  0   22.963   25.673    7.809    7.028    0.000    0.000
   524 2022  2  4 19 40  0   22.837   25.532    7.768    6.991    0.000    0.000
   525 2022  2  4 19 45  0   22.713   25.393    7.727    6.954    0.000    0.000
   526 2022  2  4 19 50  0   22.590   25.256    7.688    6.919    0.000    0.000
   527 2022  2  4 19 55  0   22.470   25.121    7.649    6.884    0.000    0.000
   528 2022  2  4 20  0  0   22.351   24.988    7.611    6.850    0.000    0.000
   529 2022  2  4 20  5  0   22.233   24.857    7.575    6.817    0.000    0.000
   530 2022  2  4 20 10  0   22.118   24.728    7.539    6.785    0.000    0.000
   531 2022  2  4 20 15  0   22.004   24.600    7.504    6.754    0.000    0.000
   532 2022  2  4 20 20  0   21.892   24.475    7.470    6.723    0.000    0.000
   533 2022  2  4 20 25  0   21.781   24.351    7.437    6.693    0.000    0.000
   534 2022  2  4 20 30  0   21.672   24.230    7.405    6.664    0.000    0.000
   535 2022  2  4 20 35  0   21.565   24.110    7.373    6.636    0.000    0.000
   536 2022  2  4 20 40  0   21.459   23.991    7.343    6.608    0.000    0.000
   537 2022  2  4 20 45  0   21.355   23.875    7.313    6.581    0.000    0.000
   538 2022  2  4 20 50  0   21.253   23.761    7.283    6.555    0.000    0.000
   539 2022  2  4 20 55  0   21.152   23.648    7.255    6.530    0.000    0.000
   540 2022  2  4 21  0  0   21.052   23.537    7.227    6.505    0.000    0.000
   541 2022  2  4 21  5  0   20.955   23.427    7.200    6.480    0.000    0.000
   542 2022  2  4 21 10  0   20.858   23.319    7.174    6.457    0.000    0.000
   543 2022  2  4 21 15  0   20.763   23.213    7.149    6.434    0.000    0.000
   544 2022  2  4 21 20  0   20.670   23.109    7.124    6.411    0.000    0.000
   545 2022  2  4 21 25  0   20.578   23.006    7.100    6.390    0.000    0.000
   546 2022  2  4 21 30  0   20.488   22.905    7.076    6.368    0.000    0.000
   547 2022  2  4 21 35  0   20.399   22.806    7.053    6.348    0.000    0.000
   548 2022  2  4 21 40  0   20.311   22.708    7.031    6.328    0.000    0.000
   549 2022  2  4 21 45  0   20.225   22.612    7.009    6.308    0.000    0.000
   550 2022  2  4 21 50  0   20.140   22.517    6.988    6.289    0.000    0.000
   551 2022  2  4 21 55  0   20.057   22.424    6.967    6.271    0.000    0.000
   552 2022  2  4 22  0  0   19.975   22.332    6.947    6.253    0.000    0.000
   553 2022  2  4 22  5  0   19.894   22.242    6.928    6.235    0.000    0.000
   554 2022  2  4 22 10  0   19.815   22.153    6.909    6.218    0.000    0.000
   555 2022  2  4 22 15  0   19.737   22.066    6.890    6.201    0.000    0.000
   556 2022  2  4 22 20  0   19.660   21.980    6.873    6.185    0.000    0.000
   557 2022  2  4 22 25  0   19.584   21.895    6.855    6.170    0.000    0.000
   558 2022  2  4 22 30  0   19.510   21.813    6.838    6.154    0.000    0.000
   559 2022  2  4 22 35  0   19.437   21.731    6.822    6.140    0.000    0.000
   560 2022  2  4 22 40  0   19.366   21.651    6.806    6.125    0.000    0.000
   561 2022  2  4 22 45  0   19.295   21.572    6.790    6.111    0.000    0.000
   562 2022  2  4 22 50  0   19.226   21.495    6.775    6.098    0.000    0.000
   563 2022  2  4 22 55  0   19.158   21.418    6.761    6.085    0.000    0.000
   564 2022  2  4 23  0  0   19.091   21.344    6.746    6.072    0.000    0.000
   565 2022  2  4 23  5  0   19.025   21.270    6.733    6.059    0.000    0.000
   566 2022  2  4 23 10  0   18.961   21.198    6.719    6.047    0.000    0.000
   567 2022  2  4 23 15  0   18.897   21.127    6.706    6.036    0.000    0.000
   568 2022  2  4 23 20  0   18.835   21.057    6.694    6.024    0.000    0.000
   569 2022  2  4 23 25  0   18.773   20.989    6.681    6.013    0.000    0.000
   570 2022  2  4 23 30  0   18.713   20.921    6.669    6.002    0.000    0.000
   571 2022  2  4 23 35  0   18.654   20.855    6.658    5.992    0.000    0.000
   572 2022  2  4 23 40  0   18.596   20.790    6.647    5.982    0.000    0.000
   573 2022  2  4 23 45  0   18.539   20.727    6.636    5.972    0.000    0.000
   574 2022  2  4 23 50  0   18.483   20.664    6.625    5.963    0.000    0.000
   575 2022  2  4 23 55  0   18.428   20.603    6.615    5.953    0.000    0.000
